,datetime_jd,datetime_str,Arecibo,Goldstone,Green Bank,Very Large Array,FAST,Canberra DSS-43,EDSCC,Usuda Deep Space Center ,Effelsberg,Lovell,Madrid DSS-63,Parkes,AVN-Ghana
0,2462240.063,2029-Apr-13 13:30,-51.478889815272225,-13.522816772603875,-42.62888417111574,-20.241871435904955,20.02845571347781,76.98286625510133,17.05644604985298,26.316441755602447,-55.16967564836804,-57.38533717459609,-67.1409803020953,78.73574192859246,-60.853223459235295
1,2462240.066,2029-Apr-13 13:35,-52.563784234142446,-14.413579385495595,-43.53170574505643,-21.17111462611362,20.869097723858786,77.35513773227842,17.441400094814824,26.661917565866283,-54.507931952106986,-56.88289747474798,-66.37964337154156,79.26578441442693,-59.99532268927018
2,2462240.069,2029-Apr-13 13:40,-53.650978163515504,-15.309360435962716,-44.43467372091192,-22.104408066039838,21.703018281641263,77.64370308045828,17.812919748635395,26.989774978704958,-53.83409690123713,-56.362963869595035,-65.60045157468906,79.706912120823,-59.11937166363407
3,2462240.073,2029-Apr-13 13:45,-55.06220938654877,-16.486241702576763,-45.61420585369794,-23.327538306987847,22.76365553970058,77.90597409412855,18.257992844395673,27.371095540492618,-52.95657492886389,-55.67941851393937,-64.57774129863748,80.14859219013299,-57.94444761494796
4,2462240.076,2029-Apr-13 13:50,-56.1540011896935,-17.392710758319197,-46.516363044633124,-24.26934399195568,23.579858370697167,77.97907553104828,18.596894309480277,27.656369763707374,-52.25747253541519,-55.12221245917982,-63.76305474623129,80.33894078407981,-57.03219529688192
5,2462240.08,2029-Apr-13 13:55,-57.56963776866377,-18.58212447613998,-47.693458444281816,-25.50222349847867,24.614186177374393,77.9495590072524,18.997375281098556,27.979914637736243,-51.34984522199116,-54.39334094299534,-62.6990763301572,80.42326868636866,-55.81525045346521
6,2462240.083,2029-Apr-13 14:00,-58.66605679019824,-19.49870484326219,-48.593402780150996,-26.452045057237086,25.41061005754368,77.79279438070877,19.30216076362217,28.22068732016659,-50.628063852657164,-53.80219317921049,-61.85485789868113,80.32133793505386,-54.871981847237834
7,2462240.087,2029-Apr-13 14:05,-60.08604372515427,-20.699874169176795,-49.76612363782277,-27.694000219598564,26.415740794752132,77.47080316629713,19.656176001356528,28.48413446194906,-49.6935628906713,-53.03224475218326,-60.756578602345314,80.02690538566304,-53.61918087995949
8,2462240.09,2029-Apr-13 14:10,-61.18710112306877,-21.625998798490173,-50.66217171473426,-28.65133410148036,27.19007676242694,77.09773608484011,19.92537392284892,28.678597851073405,-48.951349834224544,-52.41021174684829,-59.88745474990523,79.64513903762409,-52.6490636266831
9,2462240.094,2029-Apr-13 14:15,-62.61131067598498,-22.838139688383677,-51.82816643146944,-29.901660384193747,28.162769706558528,76.515788575451,20.23109250432698,28.879796143121375,-47.99281274350054,-51.60309104513357,-58.7603285565672,79.02018950397115,-51.36528799732551
