,targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,delta (Rt)
0,99942 Apophis (2004 MN4),2029-Apr-13 14:00,2462240.083333333,19.7,0.25,,,199.40863,-23.50006,199.81752,-23.65754,-5360.96,3410.738,,,,,631221.251,-118585.98,171.459,,999,,5.846,3.5,98.40135,0.0062,595632.2,*,0.386215,,,,,189.21,0.05,,,203.5235,-0.0153,1.004006639315,-5.1713083,0.00121380561163,-6.0084236,0.01009491,28.3725786,6.2062254,165.4534,/T,14.5288,168.5,0.2746,0.0195,9.313,291.113,14.32114,Hya,69.185627,207.2867238,-14.1617002,,,310.670739,38.975281,,0.0,4.04,2.224,4.183,1.941,-17.037,25.51,4.612,0.7295,1.5e-06,0.47,1.72,5e-06,233.8672,,14.5276,205.1673,-7.0907,28.46972216546607
1,99942 Apophis (2004 MN4),2029-Apr-13 15:00,2462240.125,19.7,0.25,,,197.58134,-22.41211,197.98688,-22.57133,-6852.18,4481.356,,,,,624553.693,-114729.77,163.603,,999,,5.549,3.481,98.545,0.0064,598062.0,*,0.438409,,,,,197.56,0.05,,,203.5617,-0.0129,1.003881609072,-5.2217854,0.00106929958825,-5.9997025,0.00889309,28.3840691,6.2537552,166.1283,/T,13.8567,170.1,0.2514,0.0162,17.662,291.775,13.8479,Vir,69.185626,205.25332,-13.8133257,,,308.660845,40.24703,,0.0,4.562,2.545,4.739,2.196,-17.831,32.69,5.223,0.6929,2e-06,0.61,2.21,5e-06,234.1386,,13.8562,204.1862,-6.9128,25.08034391787315
2,99942 Apophis (2004 MN4),2029-Apr-13 16:00,2462240.166666667,19.7,0.25,,,195.227,-20.95412,195.62849,-21.11534,-9061.07,6126.327,,,,,616011.819,-109542.37,152.451,,999,,5.22,3.467,98.64035,0.0069,599744.6,*,0.506718,,,,,209.29,0.06,,,203.6,-0.0105,1.003755194458,-5.2873745,0.00092514985712,-5.9771721,0.00769424,28.4006752,6.3154553,166.5957,/T,13.3917,171.5,0.2313,0.0129,29.389,292.55,13.19975,Vir,69.185626,202.5947254,-13.3309644,,,305.907991,41.860518,,0.0,5.229,2.966,5.455,2.525,-18.764,43.28,6.012,0.6747,2.7e-06,0.81,2.95,5e-06,234.5186,,13.3923,202.8951,-6.6705,21.699322479039406
3,99942 Apophis (2004 MN4),2029-Apr-13 17:00,2462240.208333333,19.7,0.25,,,192.08027,-18.90905,192.47684,-19.0725,-12522.7,8816.47,,,,,604652.687,-102242.24,136.858,,999,,4.86,3.472,98.60134,0.0084,599066.6,*,0.599597,,,,,225.56,0.07,,,203.6382,-0.0081,1.003626943009,-5.3762055,0.00078184274187,-5.9260324,0.00650239,28.4268868,6.3984296,166.4074,/T,13.5819,171.7,0.2143,0.0099,45.64,293.445,12.26615,Crv,69.185626,198.975724,-12.6267121,,,301.915089,43.954253,,0.0,6.104,3.537,6.4,2.967,-19.848,59.65,7.054,0.707,3.6e-06,1.13,4.1,5e-06,235.088,,13.584,201.1261,-6.3229,18.338064534265964
4,99942 Apophis (2004 MN4),2029-Apr-13 18:00,2462240.25,19.7,0.25,,,187.66629,-15.86409,188.05707,-16.0298,-18352.8,13571.09,,,,,588789.798,-91342.66,117.136,,999,,4.484,3.524,98.20262,0.0132,592504.6,*,0.731997,,,,,246.02,0.1,,,203.6765,-0.0056,1.003496137324,-5.5029076,0.0006404268766,-5.8110128,0.00532627,28.4728077,6.5149241,164.5846,/T,15.4056,169.1,0.2005,0.0073,66.07,294.403,10.82965,Crv,69.185626,193.7818583,-11.5240899,,,295.644292,46.711389,,0.0,7.273,4.332,7.669,3.583,-21.032,86.33,8.465,0.8492,5.2e-06,1.66,6.03,6e-06,236.0188,,15.4093,198.5699,-5.7876,15.021165719949774
5,99942 Apophis (2004 MN4),2029-Apr-13 19:00,2462240.291666667,19.7,0.25,,,181.0563,-10.9637,181.44107,-11.13089,-29098.8,22765.61,,,,,565127.018,-73760.65,96.75,,999,,4.113,3.661,96.7919,0.0299,573691.2,*,0.931283,,,,,267.01,0.16,,,203.7149,-0.0031,1.00336156948,-5.6950665,0.00050338110751,-5.5377419,0.00418649,28.5639753,6.6864881,159.3587,/T,20.6313,162.3,0.1897,0.0058,87.027,295.095,8.42181,Vir,69.185626,185.7876929,-9.6315145,,,284.647165,50.222647,,0.0,8.817,5.425,9.335,4.477,-21.97,131.3,10.353,1.1884,8e-06,2.6,9.44,8e-06,237.7217,,20.636,194.6051,-4.8791,11.806767193067493
6,99942 Apophis (2004 MN4),2029-Apr-13 20:00,2462240.333333333,19.7,0.25,,,170.23296,-2.32562,170.61539,-2.4902,-50871.4,41681.46,,,,,526513.758,-42708.27,79.712,,999,,3.799,3.92,92.25947,0.0962,531668.5,*,1.242501,,,,,283.66,0.33,,,203.7533,-0.0006,1.003221119751,-6.0015994,0.00037729578349,-4.8220873,0.00313787,28.772549,6.9459903,147.6857,/T,32.303,149.1,0.1821,0.0061,103.638,293.792,3.9715,Leo,69.185625,172.3617945,-6.0073698,,,262.849844,53.35176,,0.0,10.498,6.648,11.01,5.762,-20.705,199.29,12.427,1.8434,1.62e-05,4.16,15.14,1.2e-05,241.3056,,32.3078,187.8908,-3.1234,8.849445106566566
7,99942 Apophis (2004 MN4),2029-Apr-13 21:00,2462240.375,19.7,0.25,,,150.49703,13.40948,150.89867,13.26502,-93991.4,71971.48,,,,,456324.782,13956.459,66.889,,999,,3.78,4.358,78.01051,0.3666,446617.9,*,1.666982,,,,,291.2,0.69,,,203.7922,0.002,1.003071517835,-6.4460254,0.00028122097202,-2.8436204,0.00233884,29.2884803,7.2850932,124.0605,/T,55.9264,124.1,0.1776,0.0076,111.119,276.953,-4.44851,Leo,69.185625,148.2834073,1.2750463,,,223.423791,48.19822,,0.0,9.883,6.794,9.886,6.79,1.875,210.89,11.993,2.8567,5.14e-05,5.05,18.35,1.9e-05,249.6938,,55.9297,175.8304,0.7217,6.5960174049287845
8,99942 Apophis (2004 MN4),2029-Apr-13 22:00,2462240.416666667,19.7,0.25,,,114.54552,33.17428,115.02256,33.10684,-130521.0,54589.82,,,,,328749.724,85332.959,56.925,,999,,4.848,5.078,47.39873,0.9586,313211.0,*,1.82234,,,,,279.28,-0.91,,,203.8319,0.0046,1.002912331406,-6.6956747,0.00025724632811,1.0379903,0.00213945,30.2014535,7.4053194,87.0031,/T,92.9824,85.9,0.1762,0.0092,99.095,142.138,-14.99355,Gem,69.185625,111.1958367,11.4935101,,,186.373798,23.603092,,0.0,5.969,8.307,8.368,5.884,-80.239,154.66,10.229,3.4083,0.0001314,2.17,7.88,2.3e-05,264.9987,,92.9822,157.9157,8.3204,6.033693879156732
9,99942 Apophis (2004 MN4),2029-Apr-13 23:00,2462240.458333333,19.7,0.25,,,74.42595,39.32022,74.93092,39.36522,-89589.4,-2629.64,,,,,186214.366,107809.112,48.165,,999,,7.0,6.0,21.57308,1.1376,199200.7,*,1.450479,,,,,251.94,-0.6,,,203.8729,0.007,1.002753706511,-6.4386578,0.00032319701619,4.0682113,0.00268795,30.8460079,7.1141398,55.3335,/T,124.6513,53.2,0.1779,0.0101,71.737,101.301,-19.00058,Aur,69.185625,77.895457,16.5602244,,,165.836049,-2.230904,,0.0,14.573,4.527,14.647,4.283,-6.018,197.06,15.26,2.7629,0.0001551,4.07,14.79,1.8e-05,277.4296,,124.6484,143.0747,17.8701,7.580562461958488
