,datetime_str,LON,DEC,delta (Rt),V,AZ,AZ_rate,Area_3sigma,DEC_3sigma,DEC_app,DEC_rate,DoppDelay_3sigma,EL,EL_rate,EclLat,EclLon,G,GlxLat,GlxLon,H,LAT,Latitude,Longitude,NPole_DEC,NPole_RA,NPole_ang,NPole_dist,ObsEclLat,ObsEclLon,OrbPlaneAng,PABLat,PABLon,PDObsLat,PDObsLon,PDSunLat,PDSunLon,RA,RA_3sigma,RA_app,RA_rate,RSS_3sigma,SBand_3sigma,SMAA_3sigma,SMIA_3sigma,SubSol_ang,SubSol_dist,TDB-UT,Theta_3sigma,Unnamed: 0,Unnamed: 0.1,XBand_3sigma,airmass,alpha,alpha_true,ang_width,constellation,datetime_jd,delta,delta_rate,earth_lighttime,elong,elongFlag,flags,hour_angle,hours,illum_defect,illumination,lighttime,lunar_elong,lunar_illum,magextinct,r,r_3sigma,r_rate,r_rate_3sigma,sat_PANG,sat_X,sat_Y,sat_alpha,sat_sep,sat_vis,siderealtime,solar_presence,solartime,sunTargetPA,surfbright,targetname,true_anom,vel_obs,vel_sun,velocityPA
0,2029-Apr-13 14:00,147.36328475151518,-23.50006,28.46972216546607,5.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029-Apr-13 16:00,113.09951943329818,-20.95412,21.69932247903941,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2029-Apr-13 18:00,75.45667439617708,-15.86409,15.021165719949774,4.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2029-Apr-13 20:00,27.9412093024753,-2.32562,8.849445106566566,3.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2029-Apr-13 22:00,-57.82836618542821,33.17428,6.033693879156732,4.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2029-Apr-14 00:00,-151.34857139651575,36.32872,10.272672068585903,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2029-Apr-14 02:00,159.8060433317074,30.08844,16.664677298657917,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2029-Apr-14 04:00,122.37843766179438,26.58475,23.381110442523124,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2029-Apr-14 06:00,88.44080226494236,24.49367,30.15863057408474,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2029-Apr-13 21:45,-43.433918996076414,28.90156,5.960267316,4.426,,,120.22,7.819,28.80743,68343.46,2.3e-05,,,0.004,203.8219,0.25,31.008475,193.926656,19.7,28.90156,28.90156,-43.433918996076414,,,,,9.1226632,121.0583798,-12.7176,6.088,162.5534,,,,,125.08944,5.318,125.54402,-127866.0,9.456,2.34,8.236,4.646,284.63,0.92,69.185625,67.65,99.0,99.0,8.5,999.0,83.2579,83.2586,1.84479,Cnc,2462240.406,0.000254116,-0.0042569,0.0,96.7278,/T,,,8.23199999704957,0.8141,55.86938,0.00211342,95.9,0.1762,,1.00295261,3.4002,-6.6874583,0.0001118,59.247,366156.16,69868.597,0.0089,348220.2,*,,,,104.473,4.862,99942 Apophis (2004 MN4),260.9005,7.422537,29.9658397,167.464
