,targetname,datetime_jd,datetime_str,H,G,x,y,z,vx,vy,vz,lighttime,range,range_rate
0,99942 Apophis (2004 MN4),2462240.083333333,A.D. 2029-Apr-13 14:00:00.0000,19.7,0.25,-0.001051868119569514,-0.0005338313916887046,-0.0002977201605704599,0.002568030048521116,0.002292845022885574,0.0009963316054511081,7.026315749079819e-06,0.001216568859427655,-0.003470292339368256
1,99942 Apophis (2004 MN4),2462240.125,A.D. 2029-Apr-13 15:00:00.0000,19.7,0.25,-0.0009443750397614733,-0.0004380535247894868,-0.0002560686991227452,0.002592759832313743,0.002304857029318787,0.00100320005737931,6.191685054439328e-06,0.001072057034385481,-0.003465372111796909
2,99942 Apophis (2004 MN4),2462240.166666667,A.D. 2029-Apr-13 16:00:00.0000,19.7,0.25,-0.000835689173956405,-0.0003417261678359696,-0.0002140942243351888,0.002625880628421934,0.002319302424433263,0.001011944969625248,5.359075749584153e-06,0.0009278952021351775,-0.003452585926512212
3,99942 Apophis (2004 MN4),2462240.208333333,A.D. 2029-Apr-13 17:00:00.0000,19.7,0.25,-0.0007253690092937983,-0.0002447385359237022,-0.0001717026865158765,0.00267228648849099,0.002336595123248945,0.001023387744644434,4.531257481455112e-06,0.000784562912178949,-0.003423520352063952
4,99942 Apophis (2004 MN4),2462240.25,A.D. 2029-Apr-13 18:00:00.0000,19.7,0.25,-0.00061268967308085,-0.0001469732047577015,-0.0001287571957902424,0.002741233967499598,0.002356439211303327,0.001038788198785518,3.714193467022637e-06,0.0006430926635286978,-0.003358163984849532
5,99942 Apophis (2004 MN4),2462240.291666667,A.D. 2029-Apr-13 19:00:00.0000,19.7,0.25,-0.0004963663113822903,-4.838135335087141e-05,-8.505845741857369e-05,0.002851647755210724,0.002374937401445213,0.001059825312793688,2.921951177224361e-06,0.0005059201632725761,-0.003203097617177509
6,99942 Apophis (2004 MN4),2462240.333333333,A.D. 2029-Apr-13 20:00:00.0000,19.7,0.25,-0.000373938702230048,5.06576415484493e-05,-4.035360147622902e-05,0.003043387485586998,0.00237123227405484,0.001086590046761518,2.191843546303991e-06,0.0003795059457042089,-0.002797761578995104
7,99942 Apophis (2004 MN4),2462240.375,A.D. 2029-Apr-13 21:00:00.0000,19.7,0.25,-0.0002407706115117372,0.0001477179228633055,5.367903585302528e-06,0.003373583379838123,0.002253275313079134,0.00110228105034545,1.631723317026815e-06,0.0002825241343526009,-0.001675940525028369
8,99942 Apophis (2004 MN4),2462240.416666667,A.D. 2029-Apr-13 22:00:00.0000,19.7,0.25,-9.240716356951225e-05,0.0002341920481576236,5.040630229216954e-05,0.00371473657124834,0.001849384046459804,0.001041660741305974,1.482923177843008e-06,0.0002567601889117447,0.0005544046159529207
9,99942 Apophis (2004 MN4),2462240.458333333,A.D. 2029-Apr-13 23:00:00.0000,19.7,0.25,6.414359688152505e-05,0.0003012909048471416,9.135220367360979e-05,0.003753402067844876,0.001403186919230232,0.0009257082074372835,1.855693322800403e-06,0.0003213033387323163,0.002328297158063657
10,99942 Apophis (2004 MN4),2462240.5,A.D. 2029-Apr-14 00:00:00.0000,19.7,0.25,0.0002186362154045761,0.0003542063525218065,0.0001281362556985855,0.003658510732574226,0.001166318071736206,0.0008474386280974992,2.515387987063141e-06,0.0004355259290532446,0.003034464162142207
11,99942 Apophis (2004 MN4),2462240.541666667,A.D. 2029-Apr-14 01:00:00.0000,19.7,0.25,0.0003691843693043073,0.0004001548652327836,0.0001624510371811876,0.003571810360431629,0.001052038964309095,0.0008037451456669499,3.28144679826501e-06,0.0005681649005256572,0.003291657573331162
12,99942 Apophis (2004 MN4),2462240.583333333,A.D. 2029-Apr-14 02:00:00.0000,19.7,0.25,0.0005166129330258329,0.0004425931193295368,0.0001953573946768487,0.003508195920091199,0.0009906947251798618,0.000777808387924806,4.087753830573751e-06,0.0007077726354574112,0.003394882130895299
13,99942 Apophis (2004 MN4),2462240.625,A.D. 2029-Apr-14 03:00:00.0000,19.7,0.25,0.0006617727658114647,0.0004830478590974245,0.0002273941562158113,0.003461822046728916,0.0009539650000659479,0.0007610660623075746,4.910843223019859e-06,0.000850286145970556,0.003439797638089276
14,99942 Apophis (2004 MN4),2462240.666666667,A.D. 2029-Apr-14 04:00:00.0000,19.7,0.25,0.0008052590876433339,0.0005222653404779435,0.0002588504621892172,0.00342710543173262,0.0009300347353888268,0.0007494894413210581,5.741361539766385e-06,0.0009940859348528618,0.00345990046599911
15,99942 Apophis (2004 MN4),2462240.708333333,A.D. 2029-Apr-14 05:00:00.0000,19.7,0.25,0.0009474747969473371,0.000560651307143608,0.0002898947559743377,0.003400346325280977,0.0009134260710825079,0.0007410479323530087,6.575161536786316e-06,0.00113845392906066,0.00346845996447173
16,99942 Apophis (2004 MN4),2462240.75,A.D. 2029-Apr-14 06:00:00.0000,19.7,0.25,0.001088698632994116,0.0005984464087019654,0.0003206323931001215,0.003379183340233901,0.0009013367582771814,0.0007346322575616874,7.410257743381105e-06,0.001283046354999167,0.003471317236986836
