,targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,delta (Rt),Longitude,Latitude
0,99942 Apophis (2004 MN4),2029-Apr-13 19:00,2462240.292,19.7,0.25,,,181.0563,-10.9637,181.44107,-11.13089,-29098.8,22765.61,,,,,565127.02,-73760.65,96.75,,999,,4.113,3.661,96.7919,0.0299,573691.2,*,0.931283,,,,,267.01,0.16,,,203.7149,-0.0031,1.003361569,-5.6950665,0.000503381,-5.5377419,0.00418649,28.5639753,6.6864881,159.3587,/T,20.6313,162.3,0.1897,0.0058,87.027,295.095,8.42181,Vir,69.185626,185.7876907,-9.6315145,,,284.647165,50.222647,,0,8.817,5.425,9.335,4.477,-21.97,262.59,10.353,1.1884,0.000008,2.6,9.44,0.000008,237.7217,,20.636,194.6051,-4.8791,11.80676719,53.80581535,-10.9637
1,99942 Apophis (2004 MN4),2029-Apr-13 19:05,2462240.295,19.7,0.25,,,180.35603,-10.42401,180.74036,-10.59122,-30367.2,23871,,,,,562624.624,-71822.34,95.167,,999,,4.083,3.677,96.58261,0.0325,571278.7,*,0.952224,,,,,268.62,0.17,,,203.7181,-0.0029,1.003350128,-5.715409,0.000492311,-5.5014629,0.00409443,28.5752714,6.7042625,158.6885,/T,21.3014,161.5,0.189,0.0057,88.635,295.11,8.15054,Vir,69.185626,184.928515,-9.4151254,,,283.367063,50.53641,,0,8.962,5.53,9.488,4.569,-22.003,272.34,10.53,1.229,0.0000083,2.7,9.82,0.000008,237.9242,,21.3062,194.1772,-4.7753,11.54712353,51.85212312,-10.42401
2,99942 Apophis (2004 MN4),2029-Apr-13 19:10,2462240.299,19.7,0.25,,,179.62625,-9.85795,180.01016,-10.02515,-31713.3,25046.39,,,,,560017.506,-69789.02,93.611,,999,,4.054,3.694,96.35207,0.0355,568702.3,*,0.973974,,,,,270.2,0.18,,,203.7213,-0.0027,1.003338645,-5.7365747,0.000481317,-5.46215,0.00400299,28.5873785,6.722675,157.9729,/T,22.017,160.7,0.1882,0.0057,90.21,295.112,7.86487,Vir,69.185626,184.0311051,-9.1865947,,,282.010359,50.84934,,0,9.107,5.635,9.642,4.663,-22.023,282.46,10.71,1.2719,0.0000087,2.81,10.22,0.000008,238.1398,,22.0218,193.7299,-4.6657,11.2892563,49.8689209,-9.85795
3,99942 Apophis (2004 MN4),2029-Apr-13 19:15,2462240.302,19.7,0.25,,,178.86516,-9.26386,179.24869,-9.43103,-33142.8,26296.41,,,,,557299.298,-67654.67,92.083,,999,,4.025,3.712,96.09811,0.0389,565953.2,*,0.996567,,,,,271.74,0.19,,,203.7245,-0.0025,1.003327119,-5.7586014,0.000470405,-5.4195163,0.00391224,28.6003677,6.7417481,157.2092,/T,22.7805,159.8,0.1875,0.0057,91.749,295.1,7.56384,Crt,69.185625,183.0931435,-8.9450517,,,280.571355,51.159771,,0,9.254,5.742,9.796,4.76,-22.027,292.95,10.891,1.3172,0.0000092,2.93,10.64,0.000009,238.3694,,22.7854,193.2621,-4.5497,11.03331486,47.85440867,-9.26386
4,99942 Apophis (2004 MN4),2029-Apr-13 19:20,2462240.306,19.7,0.25,,,178.07083,-8.63996,178.454,-8.80705,-34661.5,27625.84,,,,,554463.15,-65412.87,90.584,,999,,3.997,3.732,95.8183,0.0427,563022,*,1.020036,,,,,273.25,0.2,,,203.7277,-0.0023,1.003315548,-5.7815273,0.000459582,-5.3732451,0.00382223,28.6143172,6.7615036,156.395,/T,23.5947,158.8,0.1868,0.0057,93.25,295.072,7.24642,Crt,69.185625,182.1121568,-8.6895597,,,279.044005,51.465699,,0,9.402,5.849,9.949,4.86,-22.013,303.8,11.073,1.3649,0.0000096,3.05,11.07,0.000009,238.6144,,23.5995,192.7725,-4.4269,10.77946273,45.80665611,-8.63996
5,99942 Apophis (2004 MN4),2029-Apr-13 19:25,2462240.309,19.7,0.25,,,177.24118,-7.98435,177.62404,-8.15133,-36276,29039.56,,,,,551501.695,-63056.79,89.116,,999,,3.969,3.752,95.50997,0.0469,559898.5,*,1.044412,,,,,274.71,0.22,,,203.7309,-0.0021,1.00330393,-5.805391,0.000448856,-5.3229876,0.00373302,28.6293124,6.7819618,155.5274,/T,24.4622,157.8,0.1862,0.0057,94.711,295.023,6.91151,Crt,69.185625,181.0855076,-8.419113,,,277.421941,51.764734,,0,9.55,5.956,10.101,4.963,-21.977,314.99,11.255,1.4151,0.0000102,3.17,11.53,0.000009,238.8758,,24.4671,192.2597,-4.2968,10.52787907,43.72358388,-7.98435
6,99942 Apophis (2004 MN4),2029-Apr-13 19:30,2462240.313,19.7,0.25,,,176.37397,-7.29504,176.75655,-7.46187,-37993.1,30542.48,,,,,548406.998,-60579.21,87.678,,999,,3.942,3.772,95.17014,0.0517,556572.1,*,1.069725,,,,,276.13,0.23,,,203.7341,-0.0019,1.003292263,-5.8302302,0.000438235,-5.2683598,0.00364469,28.6454467,6.8031416,154.6034,/T,25.3861,156.8,0.1855,0.0057,96.13,294.953,6.55794,Crt,69.185625,180.0103873,-8.1326333,,,275.69852,52.054036,,0,9.696,6.063,10.251,5.069,-21.916,326.49,11.436,1.4679,0.0000108,3.3,12,0.00001,239.1553,,25.391,191.7223,-4.1587,10.27876028,41.60295166,-7.29504
7,99942 Apophis (2004 MN4),2029-Apr-13 19:35,2462240.316,19.7,0.25,,,175.46678,-6.56991,175.84914,-6.73652,-39819.8,32139.49,,,,,545170.519,-57972.49,86.272,,999,,3.916,3.794,94.79553,0.057,553031.5,*,1.096002,,,,,277.51,0.24,,,203.7373,-0.0016,1.003280545,-5.8560817,0.000427728,-5.2089392,0.0035573,28.6628221,6.8250592,153.6198,/T,26.3695,155.6,0.1849,0.0057,97.504,294.856,6.18449,Vir,69.185625,178.88381,-7.8289684,,,273.866898,52.330247,,0,9.842,6.168,10.397,5.178,-21.826,338.26,11.615,1.5234,0.0000114,3.44,12.49,0.00001,239.4543,,26.3744,191.1589,-4.012,10.0323217,39.44233943,-6.56991
8,99942 Apophis (2004 MN4),2029-Apr-13 19:40,2462240.319,19.7,0.25,,,174.51702,-5.80672,174.89923,-5.97308,-41763.7,33835.25,,,,,541783.063,-55228.59,84.897,,999,,3.89,3.817,94.38248,0.0631,549264.5,*,1.123268,,,,,278.84,0.26,,,203.7405,-0.0014,1.003268775,-5.8829803,0.000417345,-5.1442618,0.00347095,28.6815497,6.8477276,152.5735,/T,27.4158,154.5,0.1843,0.0058,98.833,294.728,5.78984,Vir,69.185625,177.7026077,-7.5068907,,,271.920139,52.58942,,0,9.984,6.272,10.537,5.29,-21.701,350.25,11.791,1.5816,0.0000122,3.58,13,0.000011,239.7744,,27.4206,190.5677,-3.8561,9.788799517,37.2391572,-5.80672
9,99942 Apophis (2004 MN4),2029-Apr-13 19:45,2462240.323,19.7,0.25,,,173.52188,-5.00316,173.90401,-5.16919,-43832.6,35634.07,,,,,538234.726,-52339.1,83.554,,999,,3.865,3.841,93.92699,0.0699,545258.5,*,1.151542,,,,,280.13,0.28,,,203.7437,-0.0012,1.003256949,-5.9109575,0.000407098,-5.073819,0.00338573,28.7017503,6.8711556,151.4607,/T,28.5284,153.2,0.1837,0.0058,100.113,294.564,5.37265,Leo,69.185625,176.4634283,-7.165098,,,269.851367,52.826938,,0,10.123,6.373,10.671,5.405,-21.534,362.38,11.962,1.6427,0.000013,3.72,13.52,0.000011,240.1176,,28.5333,189.9472,-3.6901,9.548452786,34.99059464,-5.00316
