,date,date_jd,ra,dec,lon,lat,lonR,latR
0,2029-Apr-13 13:30,2462240.0625,20.177009999999996,23.946020000000004,-114.59019380787052,-25.094418229911945,-6.118579023454174,-25.097152333503313
1,2029-Apr-13 13:35,2462240.065972222,20.054650000000006,23.87547,-114.4535823100102,-25.04776926127681,-7.07775950159504,-25.050488007359064
2,2029-Apr-13 13:40,2462240.069444444,19.93009,23.803460000000005,-114.31446551013113,-25.000088033278185,-8.034433807341486,-25.002790750330636
3,2029-Apr-13 13:45,2462240.072916667,19.803269999999983,23.72997,-114.17277957607112,-24.951365481287258,-8.988538370106085,-24.954051510957985
4,2029-Apr-13 13:50,2462240.076388889,19.674129999999984,23.65493,-114.0284496237237,-24.901543523649714,-9.939997684420746,-24.904212217227105
5,2029-Apr-13 13:55,2462240.079861111,19.54260999999999,23.57832,-113.88141183696399,-24.85061302347336,-10.888748197303585,-24.85326374623819
6,2029-Apr-13 14:00,2462240.083333333,19.40862999999998,23.500060000000005,-113.73156937909374,-24.798509689311253,-11.834693037701072,-24.801141816876342
7,2029-Apr-13 14:05,2462240.086805556,19.27212,23.42012,-113.57884635322043,-24.74521633520372,-12.777756572161422,-24.747829257553903
8,2029-Apr-13 14:10,2462240.090277778,19.133029999999994,23.338439999999995,-113.42318007112527,-24.690682669872764,-13.717875495753674,-24.69327578885445
9,2029-Apr-13 14:15,2462240.09375,18.991260000000004,23.25496,-113.26445837430748,-24.634867515851283,-14.654937911015168,-24.637440247152988
10,2029-Apr-13 14:20,2462240.097222222,18.846749999999993,23.169620000000002,-113.10260873818356,-24.57772230736656,-15.588871265308,-24.580274079721697
11,2029-Apr-13 14:25,2462240.100694444,18.699399999999994,23.082370000000004,-112.937521240526,-24.519215547293815,-16.519565605902358,-24.521745804930923
12,2029-Apr-13 14:30,2462240.104166667,18.549150000000004,22.993129999999997,-112.76911904902371,-24.45927894914189,-17.446944367404456,-24.461787148696903
13,2029-Apr-13 14:35,2462240.107638889,18.39590000000001,22.90184,-112.59729012367018,-24.397871081290166,-18.37089489306777,-24.40035669505122
14,2029-Apr-13 14:40,2462240.111111111,18.23956000000002,22.80844,-112.42193236228704,-24.334948605633166,-19.29131534775263,-24.337411121620562
15,2029-Apr-13 14:45,2462240.114583333,18.080029999999976,22.71284,-112.2429272549756,-24.2704405314191,-20.20808719352442,-24.27287945201671
16,2029-Apr-13 14:50,2462240.118055556,17.917219999999972,22.61497,-112.06017062645026,-24.20429355012113,-21.12110652390089,-24.20670839361769
17,2029-Apr-13 14:55,2462240.121527778,17.751019999999993,22.514750000000003,-111.87353634797955,-24.13644811575265,-22.03024659611333,-24.138838416776668
18,2029-Apr-13 15:00,2462240.125,17.581339999999997,22.412110000000002,-111.68292036430998,-24.066850725469628,-22.935403626050913,-24.069216035392447
19,2029-Apr-13 15:05,2462240.128472222,17.408050000000003,22.30694,-111.48817033893036,-23.995415867938874,-23.836425250294667,-23.997755753984265
20,2029-Apr-13 15:10,2462240.131944444,17.231040000000004,22.199160000000003,-111.28916036381082,-23.92208365976468,-24.733185538334,-23.924397706823566
21,2029-Apr-13 15:15,2462240.135416667,17.05019999999998,22.08868,-111.08576245824358,-23.846784287391216,-25.6255567817189,-23.849072097747655
22,2029-Apr-13 15:20,2462240.138888889,16.86537999999999,21.97538,-110.87780255988932,-23.76942568423777,-26.513364305193306,-23.771686877515673
23,2029-Apr-13 15:25,2462240.142361111,16.67646999999998,21.85918,-110.66515505675298,-23.689947543821276,-27.39648277223432,-23.692181758579387
24,2029-Apr-13 15:30,2462240.145833333,16.483329999999995,21.739950000000004,-110.44765392056877,-23.608245846249588,-28.274746132688165,-23.61045273826781
25,2029-Apr-13 15:35,2462240.149305556,16.28580999999999,21.617580000000004,-110.2251276256078,-23.524237817670944,-29.147983134475908,-23.52641706207546
26,2029-Apr-13 15:40,2462240.152777778,16.08375000000001,21.491940000000003,-109.99739057726487,-23.437822692782706,-30.016007574716014,-23.43997398363496
27,2029-Apr-13 15:45,2462240.15625,15.877019999999993,21.36292,-109.76429145824017,-23.348913641419028,-30.878668414456683,-23.35103669223711
